Timestamp,Age Group,Occupation,Which laptop brand are you currently using?,What is your primary use for the laptop?,How satisfied are you with your current laptop performance?,Which feature matters most when buying a laptop?,Are you aware of laptop accessories that improve productivity?,Which accessories do you currently use ?,Which type of offer would encourage you to buy additional products?,What problems do you face with your current laptop?,How often does your laptop slow down while performing tasks?,"If you were to upgrade your laptop, which feature would you prefer to improve?",What RAM size would you prefer in your next laptop?,Which accessories did you buy along with your laptop?,Would you consider upgrading your laptop within the next 1–2 years?,Name,Which accessories would you consider buying with a new laptop?
10-03-2026 21:18,18–22,Student,Lenovo,Office Work,Neutral,Price,Yes,"Wireless Mouse, Laptop Bag",Combo bundle (Laptop + Accessories),"Battery drains quickly, Slow performance",Never,Storage capacity,64 GB,"Laptop Bag, Mouse",Yes,User_0025,"Laptop Stand, Cooling Pad"
10-03-2026 12:40,18–22,Student,HP,Office Work,Very satisfied,Price,Yes,"Wireless Mouse, Laptop Bag",Combo bundle (Laptop + Accessories),Low storage space,Rarely,Processor performance,32 GB,"Laptop Bag, Mouse",Yes,User_0026,"Wireless Mouse, Laptop Bag"
10-03-2026 11:51,18–22,Student,HP,Office Work,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag",Discount on accessories,"No major issues, Insufficient RAM",Very often,Processor performance,16 GB,"Laptop Bag, Mouse",Maybe,User_0027,Laptop Stand
10-03-2026 18:15,Less than 18,Student,Asus,Studying,Very satisfied,Graphics,Yes,Laptop Bag,Discount on accessories,"Battery drains quickly, No major issues, Insufficient RAM",Sometimes,RAM capacity,64 GB,Mouse,Yes,User_0028,"Laptop Stand, Cooling Pad"
10-03-2026 15:12,18–22,Other,Lenovo,Multimedia / Entertainment,Neutral,Graphics,Yes,Laptop Bag,Combo bundle (Laptop + Accessories),"No major issues, Slow performance",Sometimes,Processor performance,64 GB,Laptop Bag,Yes,User_0029,"External Storage, Laptop Stand"
10-03-2026 21:33,18–22,Business,HP,Personal use,Satisfied,Graphics,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD, USB Hub",Combo bundle (Laptop + Accessories),Battery drains quickly,Sometimes,Storage capacity,32 GB,"Laptop Bag, Keyboard, External Storage",Maybe,User_0030,"Wireless Mouse, Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 20:41,23–30,Other,Dell,Office Work,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Laptop Stand",Combo bundle (Laptop + Accessories),Overheating issues,Rarely,Storage capacity,32 GB,"Laptop Bag, Keyboard, External Storage",Yes,User_0031,"Wireless Mouse, External Storage, Cooling Pad"
10-03-2026 17:50,23–30,Other,Acer,Studying,Neutral,Processor,No,"Wireless Mouse, External Hard Drive / SSD, Laptop Stand, USB Hub",Extended warranty,"Battery drains quickly, No major issues, Low storage space",Sometimes,Battery life,16 GB,"Laptop Bag, Mouse",Maybe,User_0032,Laptop Bag
10-03-2026 21:11,18–22,Student,Dell,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag",Combo bundle (Laptop + Accessories),"Overheating issues, Insufficient RAM",Rarely,RAM capacity,64 GB,Mouse,Maybe,User_0033,"Wireless Mouse, Laptop Bag, Laptop Stand"
10-03-2026 17:23,18–22,Student,Lenovo,Programming,Very satisfied,Graphics,Yes,Cooling Pad,Combo bundle (Laptop + Accessories),"Low storage space, Insufficient RAM",Rarely,Battery life,64 GB,"Laptop Bag, Mouse",Yes,User_0034,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 09:37,18–22,Working Professional,Asus,Office Work,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),No major issues,Very often,Processor performance,32 GB,Mouse,No,User_0035,"Wireless Mouse, Laptop Stand"
10-03-2026 12:46,Above 40,Business,Dell,Studying,Neutral,Storage,Yes,"Wireless Mouse, Laptop Stand, USB Hub",Combo bundle (Laptop + Accessories),Overheating issues,Rarely,Battery life,32 GB,Mouse,Yes,User_0036,"Laptop Bag, External Storage, Laptop Stand"
10-03-2026 21:23,Above 40,Other,Lenovo,Studying,Satisfied,Graphics,Yes,None,Combo bundle (Laptop + Accessories),"Battery drains quickly, Slow performance",Rarely,Processor performance,32 GB,"Mouse, Keyboard",Maybe,User_0037,"Wireless Mouse, Laptop Bag, Laptop Stand"
10-03-2026 19:24,18–22,Student,Apple,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, External Hard Drive / SSD, Laptop Stand, USB Hub",Combo bundle (Laptop + Accessories),No major issues,Sometimes,Processor performance,32 GB,Mouse,No,User_0038,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 15:34,18–22,Other,Lenovo,Multimedia / Entertainment,Satisfied,Storage,Yes,"Wireless Mouse, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),"Slow performance, Low storage space",Rarely,Processor performance,32 GB,Mouse,Yes,User_0039,Wireless Mouse
10-03-2026 19:07,Above 40,Working Professional,Dell,Programming,Very satisfied,Graphics,Yes,"Keyboard, External Hard Drive / SSD",Free accessories,"Overheating issues, No major issues, Slow performance",Very often,Battery life,16 GB,Mouse,Maybe,User_0040,"Wireless Mouse, Cooling Pad"
10-03-2026 14:25,Above 40,Working Professional,Lenovo,Studying,Very satisfied,RAM,Yes,"Wireless Mouse, USB Hub, Cooling Pad",Extended warranty,Battery drains quickly,Rarely,Storage capacity,64 GB,Mouse,Yes,User_0041,"Wireless Mouse, Laptop Bag, External Storage"
10-03-2026 18:35,Above 40,Working Professional,Dell,Studying,Unsatisfied,Price,Yes,"Wireless Mouse, External Hard Drive / SSD, Cooling Pad",Free accessories,"Overheating issues, Insufficient RAM",Sometimes,RAM capacity,32 GB,External Storage,No,User_0042,"External Storage, Laptop Stand"
10-03-2026 11:35,Above 40,Working Professional,HP,Office Work,Satisfied,Processor,No,"Wireless Mouse, Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),"Overheating issues, No major issues, Slow performance",Sometimes,Battery life,32 GB,"Laptop Bag, Mouse",No,User_0043,"Laptop Bag, Cooling Pad"
10-03-2026 21:48,18–22,Student,Dell,Office Work,Satisfied,RAM,Yes,"Wireless Mouse, Keyboard, Laptop Stand, USB Hub",Combo bundle (Laptop + Accessories),Low storage space,Rarely,Storage capacity,64 GB,"Laptop Bag, Mouse, External Storage",No,User_0044,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 12:05,Above 40,Working Professional,HP,Programming,Neutral,RAM,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),No major issues,Never,RAM capacity,32 GB,"Laptop Bag, Mouse",Maybe,User_0045,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 11:17,18–22,Student,Asus,Office Work,Neutral,Storage,Yes,"Wireless Mouse, Keyboard",Discount on accessories,"Overheating issues, Insufficient RAM",Never,Processor performance,32 GB,Cooling Pad,Yes,User_0046,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 16:14,18–22,Student,Apple,Studying,Satisfied,Processor,Yes,"Wireless Mouse, Keyboard",Combo bundle (Laptop + Accessories),Slow performance,Sometimes,Battery life,64 GB,External Storage,Maybe,User_0047,"Wireless Mouse, Laptop Bag, Laptop Stand"
10-03-2026 13:52,18–22,Student,Dell,Multimedia / Entertainment,Very satisfied,Processor,Yes,"Wireless Mouse, Keyboard, Laptop Stand",Extended warranty,Battery drains quickly,Never,Battery life,32 GB,"Laptop Bag, Mouse, External Storage",Maybe,User_0048,Laptop Stand
10-03-2026 20:00,18–22,Student,Lenovo,Studying,Satisfied,RAM,Yes,"Laptop Bag, Keyboard",Free accessories,Overheating issues,Sometimes,Processor performance,8 GB,Laptop Bag,Yes,User_0049,"Wireless Mouse, Cooling Pad"
10-03-2026 20:26,Above 40,Business,Apple,Office Work,Very satisfied,RAM,Yes,"Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),"No major issues, Slow performance",Rarely,Battery life,16 GB,None,Maybe,User_0050,Cooling Pad
10-03-2026 21:12,Less than 18,Working Professional,HP,Studying,Very satisfied,Price,Yes,Wireless Mouse,Extended warranty,Battery drains quickly,Rarely,Storage capacity,64 GB,Laptop Bag,Maybe,User_0051,"Wireless Mouse, External Storage"
10-03-2026 17:33,Above 40,Working Professional,Dell,Office Work,Very satisfied,Price,Yes,"Wireless Mouse, Laptop Bag, Keyboard, Cooling Pad",Extended warranty,"Battery drains quickly, Overheating issues, No major issues, Slow performance",Sometimes,Storage capacity,32 GB,"Mouse, Keyboard, Cooling Pad",Maybe,User_0052,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 18:37,18–22,Student,HP,Programming,Very satisfied,Processor,Yes,"Laptop Bag, Keyboard, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),"Battery drains quickly, Slow performance",Rarely,Storage capacity,16 GB,"Laptop Bag, External Storage",Maybe,User_0053,"Wireless Mouse, Cooling Pad"
10-03-2026 12:48,Above 40,Working Professional,Lenovo,Multimedia / Entertainment,Very satisfied,RAM,Yes,"External Hard Drive / SSD, Laptop Stand, Cooling Pad",Combo bundle (Laptop + Accessories),"No major issues, Low storage space, Insufficient RAM",Sometimes,Processor performance,32 GB,Mouse,Yes,User_0054,"Laptop Bag, Cooling Pad"
10-03-2026 10:31,18–22,Student,Dell,Personal use,Very satisfied,Graphics,Yes,"Wireless Mouse, Laptop Bag",Extended warranty,Low storage space,Sometimes,Processor performance,16 GB,"Laptop Bag, Mouse, Keyboard",Yes,User_0055,"External Storage, Laptop Stand"
10-03-2026 10:09,23–30,Student,Lenovo,Studying,Very satisfied,Storage,Yes,"Wireless Mouse, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),"Battery drains quickly, Slow performance",Never,Processor performance,32 GB,"Keyboard, External Storage",No,User_0056,"Wireless Mouse, Laptop Bag, External Storage"
10-03-2026 16:11,Above 40,Student,Lenovo,Studying,Neutral,Storage,Yes,"Laptop Bag, Laptop Stand",Combo bundle (Laptop + Accessories),"No major issues, Low storage space",Sometimes,Storage capacity,32 GB,"Laptop Bag, Mouse, External Storage",Maybe,User_0057,"Wireless Mouse, External Storage"
10-03-2026 19:54,18–22,Working Professional,HP,Office Work,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Cooling Pad",Extended warranty,Slow performance,Sometimes,Processor performance,32 GB,"Mouse, Keyboard, External Storage",Maybe,User_0058,Laptop Stand
10-03-2026 12:15,18–22,Student,HP,Studying,Satisfied,RAM,Yes,"Keyboard, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),Battery drains quickly,Never,Processor performance,16 GB,"Keyboard, External Storage",Yes,User_0059,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 18:37,18–22,Student,HP,Programming,Satisfied,Graphics,Yes,Laptop Bag,Discount on accessories,"Battery drains quickly, Slow performance, Insufficient RAM",Sometimes,Battery life,32 GB,"Laptop Bag, Mouse, External Storage",Maybe,User_0060,"Laptop Stand, Cooling Pad"
10-03-2026 11:10,18–22,Student,Apple,Programming,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard",Extended warranty,No major issues,Never,Battery life,32 GB,None,Yes,User_0061,"Wireless Mouse, Laptop Bag"
10-03-2026 14:21,18–22,Working Professional,HP,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Keyboard, Laptop Stand",Combo bundle (Laptop + Accessories),"Overheating issues, No major issues, Slow performance, Low storage space, Insufficient RAM",Sometimes,Storage capacity,32 GB,"Laptop Bag, Mouse, Cooling Pad",Maybe,User_0062,"Wireless Mouse, Laptop Bag"
10-03-2026 09:39,23–30,Working Professional,Lenovo,Studying,Neutral,RAM,Yes,"Wireless Mouse, Laptop Stand, Cooling Pad",Combo bundle (Laptop + Accessories),"Battery drains quickly, Slow performance",Sometimes,Processor performance,64 GB,"Mouse, Keyboard",Maybe,User_0063,"Laptop Bag, Laptop Stand"
10-03-2026 20:02,Above 40,Other,Dell,Studying,Neutral,Processor,Yes,"Wireless Mouse, Laptop Bag, Cooling Pad",Combo bundle (Laptop + Accessories),Overheating issues,Sometimes,Processor performance,32 GB,Keyboard,Maybe,User_0064,"Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 10:55,18–22,Student,HP,Office Work,Satisfied,RAM,No,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),Insufficient RAM,Sometimes,Graphics performance,64 GB,"Keyboard, External Storage",No,User_0065,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 20:36,18–22,Student,Lenovo,Office Work,Unsatisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, Keyboard",Extended warranty,"Battery drains quickly, Overheating issues",Sometimes,Battery life,32 GB,"Laptop Bag, External Storage",No,User_0066,"Wireless Mouse, External Storage"
10-03-2026 11:36,18–22,Student,Dell,Studying,Neutral,RAM,No,"Wireless Mouse, USB Hub",Extended warranty,"Battery drains quickly, Slow performance",Rarely,Processor performance,32 GB,"Laptop Bag, Mouse",Maybe,User_0067,"Wireless Mouse, External Storage"
10-03-2026 12:06,18–22,Student,Asus,Studying,Satisfied,Price,Yes,Keyboard,Free accessories,Battery drains quickly,Sometimes,Battery life,16 GB,"Laptop Bag, Mouse, External Storage",Maybe,User_0068,"Laptop Bag, External Storage"
10-03-2026 13:08,18–22,Working Professional,Dell,Programming,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD, USB Hub",Free accessories,"Battery drains quickly, Low storage space",Never,RAM capacity,64 GB,"Laptop Bag, Mouse",Maybe,User_0069,"Laptop Bag, Laptop Stand"
10-03-2026 13:18,Above 40,Student,HP,Office Work,Satisfied,Graphics,Yes,"Wireless Mouse, External Hard Drive / SSD",Discount on accessories,Slow performance,Rarely,Battery life,64 GB,"Mouse, Cooling Pad",Maybe,User_0070,"Wireless Mouse, Laptop Bag, Laptop Stand"
10-03-2026 21:27,18–22,Student,HP,Studying,Satisfied,Price,Yes,Cooling Pad,Extended warranty,Low storage space,Rarely,RAM capacity,8 GB,Cooling Pad,Maybe,User_0071,"Laptop Bag, External Storage"
10-03-2026 11:43,18–22,Student,HP,Programming,Satisfied,Storage,Yes,Laptop Bag,Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues, Insufficient RAM",Rarely,Battery life,32 GB,"Laptop Bag, Mouse",Maybe,User_0072,"Wireless Mouse, External Storage"
10-03-2026 14:16,Above 40,Working Professional,Asus,Studying,Very satisfied,Price,Yes,"Wireless Mouse, USB Hub",Extended warranty,"Battery drains quickly, Slow performance",Sometimes,Storage capacity,64 GB,None,No,User_0073,Cooling Pad
10-03-2026 21:40,18–22,Student,Asus,Office Work,Very satisfied,Processor,Yes,"Wireless Mouse, Keyboard",Discount on accessories,Battery drains quickly,Sometimes,Graphics performance,32 GB,Mouse,Yes,User_0074,External Storage
10-03-2026 17:10,18–22,Other,HP,Office Work,Satisfied,RAM,Yes,Cooling Pad,Combo bundle (Laptop + Accessories),No major issues,Never,Storage capacity,64 GB,Mouse,No,User_0075,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 19:33,Above 40,Working Professional,Dell,Studying,Neutral,Graphics,Yes,"Keyboard, External Hard Drive / SSD",Extended warranty,No major issues,Sometimes,Storage capacity,64 GB,Laptop Bag,No,User_0076,"Wireless Mouse, External Storage"
10-03-2026 11:19,18–22,Student,HP,Studying,Satisfied,Storage,Yes,"Wireless Mouse, Keyboard",Discount on accessories,Overheating issues,Sometimes,RAM capacity,64 GB,Laptop Bag,Maybe,User_0077,"Wireless Mouse, Laptop Bag, Cooling Pad"
10-03-2026 10:51,Above 40,Working Professional,HP,Studying,Satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, Keyboard, USB Hub",Combo bundle (Laptop + Accessories),Low storage space,Sometimes,Battery life,64 GB,"Laptop Bag, Keyboard",Yes,User_0078,"Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 14:50,Above 40,Student,Dell,Programming,Neutral,Storage,Yes,"Wireless Mouse, External Hard Drive / SSD",Free accessories,Low storage space,Rarely,Processor performance,32 GB,Keyboard,Yes,User_0079,External Storage
10-03-2026 16:14,23–30,Student,Dell,Office Work,Neutral,RAM,Yes,"Laptop Bag, External Hard Drive / SSD",Discount on accessories,Slow performance,Never,RAM capacity,64 GB,"Laptop Bag, Keyboard",Maybe,User_0080,Wireless Mouse
10-03-2026 14:39,18–22,Student,HP,Programming,Very satisfied,Storage,Yes,"Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),Low storage space,Sometimes,RAM capacity,64 GB,"Laptop Bag, Mouse",Yes,User_0081,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 12:32,18–22,Student,Dell,Office Work,Very satisfied,Processor,Yes,"Laptop Bag, Keyboard, Cooling Pad",Extended warranty,"Battery drains quickly, No major issues",Sometimes,Battery life,64 GB,"Laptop Bag, Mouse",Maybe,User_0082,"External Storage, Laptop Stand"
10-03-2026 12:34,18–22,Student,Dell,Studying,Satisfied,Graphics,Yes,None,Free accessories,"Battery drains quickly, Overheating issues",Rarely,RAM capacity,32 GB,"Laptop Bag, Mouse",No,User_0083,"Wireless Mouse, External Storage"
10-03-2026 11:51,18–22,Student,Dell,Programming,Very satisfied,Processor,Yes,Laptop Bag,Combo bundle (Laptop + Accessories),"Battery drains quickly, Slow performance",Sometimes,Processor performance,64 GB,"Laptop Bag, Cooling Pad",No,User_0084,External Storage
10-03-2026 16:50,Above 40,Working Professional,Dell,Office Work,Satisfied,Price,Yes,External Hard Drive / SSD,Extended warranty,Slow performance,Rarely,Storage capacity,32 GB,"Laptop Bag, Cooling Pad",Yes,User_0085,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 20:20,Above 40,Student,Dell,Office Work,Neutral,Storage,Yes,"Wireless Mouse, Cooling Pad",Discount on accessories,Overheating issues,Sometimes,Processor performance,64 GB,Mouse,Maybe,User_0086,"Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 12:46,18–22,Student,Lenovo,Office Work,Very satisfied,Price,Yes,Laptop Bag,Combo bundle (Laptop + Accessories),"No major issues, Slow performance",Sometimes,Processor performance,64 GB,None,No,User_0087,"Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 09:52,Above 40,Working Professional,HP,Studying,Satisfied,RAM,Yes,"Wireless Mouse, Keyboard, USB Hub",Combo bundle (Laptop + Accessories),Insufficient RAM,Rarely,RAM capacity,16 GB,None,Maybe,User_0088,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 10:31,Above 40,Student,HP,Office Work,Satisfied,RAM,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),Overheating issues,Sometimes,Processor performance,64 GB,Mouse,Maybe,User_0089,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 12:16,Above 40,Working Professional,HP,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD",Discount on accessories,No major issues,Rarely,Processor performance,32 GB,None,Maybe,User_0090,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 11:29,Above 40,Working Professional,HP,Office Work,Neutral,Storage,Yes,Keyboard,Discount on accessories,"No major issues, Slow performance",Sometimes,Storage capacity,16 GB,None,Maybe,User_0091,"Laptop Bag, Laptop Stand"
10-03-2026 19:19,Above 40,Working Professional,Acer,Multimedia / Entertainment,Neutral,RAM,Yes,"Wireless Mouse, Keyboard",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, No major issues, Slow performance, Low storage space",Rarely,Battery life,64 GB,"Laptop Bag, Mouse",Yes,User_0092,"Wireless Mouse, Cooling Pad"
10-03-2026 19:45,Above 40,Working Professional,Lenovo,Office Work,Very satisfied,Storage,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),"Overheating issues, Low storage space",Very often,Processor performance,32 GB,"External Storage, Cooling Pad",Maybe,User_0093,"Wireless Mouse, External Storage, Cooling Pad"
